name,x,y
Lippe-Hohwachter Bucht,10.6655,54.3263
Weissenhaus,10.7921,54.3135
Dazendorf,10.9113,54.3702
Fehmarn Westermarkelsdorf,11.0462,54.5252
Fehmarn Staberhuk,11.3134,54.4013
Kuhlungsborn,11.7412,54.1541
Dahme Seebrucke,11.0917,54.2209
Timmendorfer Strand,10.7847,53.9996
Warnemunde,12.077,54.1821
Dierhagen-Neuhaus,12.3095,54.2841
Wustrow,12.3749,54.3496
Borsmose,8.138,55.6734
Vejers Strand,8.1119,55.6251
Kraakevika,6.1681,62.6726
Hovden,4.8209,61.686
Fjern-z,4.763,60.5995
Tjøm,7.2745,58.0332
Sjøsanden,7.4467,58.0202
Saltstein,9.8325,58.9689
Naverfjorden,9.9812,58.9814
Skallevoldbukta,10.502,59.2912
Storesand,11.0171,59.025
Hustadvika Gjestegård,7.1466,62.9851
Ulla,6.1973,62.694
Alnes Lighthouse (Godoy),5.9644,62.4925
Flo,5.852,62.4071
Ervika,5.1096,62.1666
Hoddevik,5.1571,62.1247
Karmoy,5.1831,59.2335
Solastrand,5.5898,58.8774
Vigdel,5.557,58.8615
Hellesto,5.5577,58.8407
Byberg,5.5505,58.8342
Suppå,5.5369,58.8223
Sele,5.5448,58.8121
Bore,5.5452,58.7993
Reve Havn,5.5166,58.7726
Pigsty/Piggy,5.4992,58.7634
Point Perfect (Orre),5.5382,58.6969
Refsnes,5.5486,58.6915
Kvassheim,5.6695,58.5488
Brusand,5.7632,58.53
Bausje Strand-Borhaug,6.6114,58.0854
Lista,6.6476,58.0512
Ohtakari,23.397,64.094
Storsand,22.264,63.48
Poliisinlahti,21.496,61.585
Yyteri,21.518,61.561
Flakstad Beach,13.2944,68.1079
Lop camping,14.477,67.3245
Unstad Beach,13.5795,68.2694
G-force,14.4251,68.6381
G-frame,14.4275,68.6389
The Frog,14.4709,68.7575
Ducks,15.5223,69.068
Porsangvika,25.8403,70.8714
Seines,14.353,67.2098
Storvika,13.7183,66.9488
Berlevåg Sandfjorden,29.2671,70.7979
Persfjord,30.7834,70.4209
Skallelv,30.361,70.1882
Teriberka,35.0904,69.2049
Flotskiy,29.1404,60.1641
Swan Lake,20.9243,55.2535
Lesnoe,20.6317,55.0305
Zelenogradsk - Sambeach,20.4812,54.9648
Zelenogradsk- Mistel,20.4521,54.955
Zelenogradsk- Mistel,20.4521,54.955
Malinovka - Banka ,20.4474,54.9535
Malinovka,20.442,54.9524
Sokolniki,20.4099,54.945
Kulikovo,20.3562,54.9375
Zaostrovie,20.2738,54.9619
Pionerskie,20.2233,54.9568
ZSpot,20.1428,54.9461
Donskoe,19.959,54.9389
Baltiysk,19.8757,54.6491
Lignano Pineta,13.116,45.667
Punta Sabbioni,12.437,45.425
Adria,12.283,44.561
Carabiniere,12.281,44.54
Lamone,12.28,44.526
La Diga,12.289,44.485
Rock Island,12.577,44.079
Fiorenzuola,12.866,43.937
Lido,13.012,43.853
Cesano,13.177,43.748
La Nave,13.59,43.565
Portonovo,13.602,43.561
Sasso,13.622,43.532
Marina Palmense,13.812,43.161
Silvi Marina,14.135,42.54
Il Porto,14.2329,42.4609
Saraceno,14.718,42.152
Capo Vieste,16.11,41.925
Frigole,18.2584,40.4268
San Stefano Beach,19.6437,39.7577
Glyfada,19.8073,39.5922
Kontogialos Beach,19.8188,39.5843
Saint Gordios,19.8497,39.546
Valtos Beach,20.3897,39.2843
Kastro Point,20.396,39.284
Krioneri,20.405,39.282
Ammoudia Left,20.48,39.238
Loutsa,20.542,39.181
Lygia,20.5731,39.147
Ligia Reef,20.589,39.129
Stonebread,20.596,39.122
Kastrosikia,20.65,39.094
Shark Reef,20.707,38.983
Porto Katsiki,20.5503,38.5989
Lourdas Beach (Kefallonia),20.625,38.115
Arkoudi,21.1078,37.847
Kakovatos,21.6395,37.4548
Ammes Beach (Kefallonia),20.508,38.109
Kalogria,21.3641,38.1642
Kalo Nero (Peloponnisos),21.693,37.295
Agrili (Peloponnisos),21.598,37.216
Lagkouvardos (Peloponnisos),21.582,37.09
Mati,21.6355,37.0086
Bouka (Peloponnisos),21.648,36.992
Voidokilia,21.6627,36.9636
Kouloura,21.7214,36.807
Krokala,21.7383,36.8012
Fenekounta,21.8075,36.8079
Zagka,21.9382,36.7827
Rizomilos,21.9252,36.8776
Santova beach,22.1448,36.9478
Ritsa beach,22.2248,36.8945
Akrogiali beach,22.1446,36.9536
Kardamyli,22.2317,36.8892
Agios Nicholas,22.2868,36.8206
Oitylo,22.3833,36.6967
Mavrovouni,22.5533,36.7284
Shipwreck,22.583,36.7885
Pori,23.0239,36.7208
Monemvasia,23.0324,36.6309
Marmari,22.4759,36.4259
Managhros,25.9344,38.4648
Alaçatı,26.3604,38.2271
Patara,29.312,36.253
Beymelek,30.0668,36.2582
Hasyurt 75. yıl,30.2303,36.3157
Kumluca Plaji,30.2728,36.3144
Beykonak,30.2939,36.3109
Şah Inn,30.3198,36.3
Karaoz,30.408,36.2747
Olympos Beach,30.48,36.4084
Kemer,30.5667,36.6044
Antalya,30.6649,36.8774
Kundu,30.8871,36.8534
Side,31.3958,36.765
Alanya,31.979,36.5489
Damlatas,31.9849,36.5443
Kahyalar,32.2735,36.2904
Mersin,34.5136,36.7305
Gazipasa Halk Plaji,32.2796,36.267
Mezili,34.5496,36.7512
Samandag,35.9454,36.0809
Chekka,35.714,34.311
Colonel,35.6596,34.2439
Batroun,35.659,34.243
White Beach,35.6498,34.2145
Pier and Friends,35.649,34.2125
Tam Tam Beach,35.648,34.114
Nahr Brahim,35.642,34.061
Yours,35.634,34.013
Ramlet al Bayhda,35.4792,33.8791
Casinos,35.642,34.012
Damour,35.4378,33.702
Mustafas,35.417,33.666
Aabbasiyyeh,35.22,33.2942
Betset Beach,35.1057,33.0805
Achziv Beach,35.1001,33.0444
Sokolov Beach,35.0864,33.0047
Shavei Tzion,35.0793,32.9801
Argaman Beach,35.0796,32.9171
Kiriat Yam,35.0591,32.8537
Bat Galim,34.982,32.8376
Backdoor Haifa,34.9816,32.8366
The Peak,34.955,32.807
Nirvana Beach,34.955,32.796
Kadarim,34.9556,32.7955
Atlit Beach,34.9413,32.7095
Stalbeach,34.926,32.675
Nahsholim,34.9156,32.6144
Maagan Michael,34.9068,32.5581
Israel Rovercam,34.906,32.558
Jisr az-zarqa,34.9,32.538
Caesarea,34.899,32.529
Sdot Yam,34.882,32.476
Olga Beach,34.8775,32.4393
Beit Yanai,34.862,32.391
Sironit Beach,34.846,32.323
Argamans Beach,34.839,32.302
Netanya,34.8328,32.2736
Sidna Ali,34.803,32.188
Gazebbo Beach,34.801,32.178
Zvulun,34.8,32.176
Marina,34.795,32.166
Dromi - Herzlyia Marina,34.792,32.1561
Hazuk Beach,34.79,32.144
Ha-Rama Beach,34.8529,32.345
Poleg Beach,34.8329,32.2734
Marina Dan Acadia,34.7976,32.1679
Tel Baruch North,34.7834,32.1229
Topsy,34.768,32.093
Hilton Beach,34.7668,32.089
Gordon Beach,34.7671,32.0827
Manta Ray ,34.7595,32.0616
Dolphinarium,34.753,32.061
Maaravi,34.7548,32.0561
Bat Yam,34.735,32.015
Rishon,34.73,32.003
Palmachim,34.701,31.934
Ashdod,34.637,31.815
Hakshatot,34.629,31.799
Nachal Yarkon St.,34.6257,31.7881
Foxes Point,34.5679,31.6956
Gute Beach,34.567,31.6947
Ashkelon,34.548,31.674
Zikim,34.503,31.612
Gaza,34.4284,31.5202
Eilat,34.9644,29.5478
Lara Bay,32.3115,34.96
Pomos,32.5446,35.1644
Toxeftra Beach,32.3269,34.9213
Potima Bay,32.387,34.8409
Helios Beach,32.3926,34.812
Sandy Beach,32.3943,34.8121
Paphos,32.4792,34.7101
Pissouri Bay,32.7202,34.6492
Kourion,32.8835,34.6597
Akrotri ,32.935,34.5927
Curium Bay,32.884,34.6602
Lady's Mile Beach,33.0057,34.6144
Malindi Beach,33.1654,34.7119
Governor Beach,33.2736,34.7158
Softades Beach,33.5364,34.8088
Queen Victoria,33.6621,34.962
Fig Tree Bay,34.0587,35.0124
Polis,32.4051,35.0435
Marsa Matrouh,27.1786,31.3755
Alexandria,29.9105,31.2105
Dionisiou Beach,23.2616,40.2455
Sarti Beach,23.98,40.089
Sikias Beach,23.988,40.04
Kalamitsi,23.992,39.99
Chorefto,23.122,39.454
Aegios loannis,23.161,39.418
Llias Madraki (Skiathos),23.405,39.167
Small Ateni,24.8366,37.9122
Big Ateni,24.839,37.9101
Gialia Beach,24.9394,37.8529
Neimporio,24.9343,37.8403
Galaxies,25.1683,37.5317
Komito beach,24.8825,37.3767
Kokkina beach,24.8704,37.3952
Lotos beach,24.8958,37.4432
Azolimnos beach,24.9639,37.4103
Lyhnaftia Beach,25.2299,37.556
Lia,25.4364,37.4451
Messakti Beach - Ikaria,26.0974,37.6304
Aghios Isidhoros,25.8572,38.5036
Agios Georgios,25.3752,37.0988
Pyrgaki,25.4008,36.9769
Kampaki,25.2697,36.7769
Kalantos Beach,25.472,36.9369
Psili Ammos,25.5684,37.0134
Ammoudi,25.3696,36.4608
Vourvoulos,25.4487,36.4445
Karteradou,25.472,36.4204
Tetarti,25.4865,36.4076
Perissa,25.4735,36.3536
Agios Georgios,25.4518,36.3379
Blixada,25.4323,36.3385
Almyra,25.4143,36.3477
Red Beach,25.3947,36.3485
Kambia,25.3874,36.3481
Mesa Pigadia,25.376,36.3544
Agkali,24.5407,36.7171
Tria Pigadia,24.5364,36.73
Agia Eirini Beach,24.4867,36.748
Lagkada,24.4419,36.7249
Agios Ioannis,24.3318,36.6778
Fyriplaka,24.4647,36.6664
Nerodafni,24.4123,36.7679
Kampanes,24.4138,36.7694
Tsigkrado,24.4693,36.6619
Delphini beach,24.8982,37.4583
Vari beach,24.9456,37.3899
Drakano Beach,26.3611,37.6765
Mourtia,27.0286,37.7624
Irakleidis,27.0003,36.7775
Paradise Beach,27.0057,36.759
Agios Theologis,26.9185,36.7227
Theologos,26.9204,36.7133
Kameiros,27.8502,36.2884
Zephyros,28.2353,36.4285
Gennadi,27.9291,36.0189
Prasonisi West,27.7703,35.89
Prasonisi East,27.7717,35.8863
Archaia,23.8193,40.7783
The Bridge,24.1007,40.7268
Asprovalta,23.7491,40.7573
Olympiada Rivermouth,23.7823,40.5968
Madonna Beach - Limnos,25.2481,39.9906
Thanos Beach - Limnos,25.0767,39.8384
